Org Objective,Product Area,Hardware,AI Team Objective,Rank,Project + Description,Type,PRD / 1 Pager,TEAM,STO(s),T-Shirt Size,FTE Est.,Staffing,EOQ Goal,EOH Goal,Delivery Dates,Key Metric & Impact,Integration/Partner POD,Cross Team Dependencies (with POC),Existing / New,Planned?,Design Status (Enter Design status if applicable otherwise N/A),Available Days,RF Feature Dev,BE - 27 (EoQ) [DO NOT EDIT],DF Feature Dev,FE - 23 (EoQ) [DO NOT EDIT],QA - 52,QA - 52 (EOQ) [DO NOT EDIT],AN - 66,AN (EOQ) [DO NOT EDIT],iOS - 70,iOS - (EOQ) [DO NOT EDIT],Design,Design (EOQ) [DO NOT EDIT],Platform,Platform (EOQ) [DO NOT EDIT],Data Platform,Data Platform (EOQ) [DO NOT EDIT],Embedded,Embedded (EOQ) [DO NOT EDIT],DS,DS (EOQ) [DO NOT EDIT],Resources
,,,,,,,,,,,,,,,,,,,,,,,535,267.5,366,183,0,0,-78,-39,-78,-39,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deliver Enterprise- Grade Reliability Across Hardware and Software,AI Safety & Collisions,"Both(AIDC, AIDC+)",Mature AI Product,1,"AI Pipeline Revamp and Reliability
The original AI Events Pipeline, built around 2020, has grown increasingly complex. The current architecture involves multiple services, owned by different teams, creating significant operational challenges. This is a cross-functional effort led by the AI team, with significant support from the Safety AI Platform team. 

Tasks: Refactor Safety AI Events processor, make EFS asyncrhonous, revamp and upgrade SLOs/SLAs, monitoring and alerting for full AI pipeline.",Initiative,AI Pipeline Revamp & Reliability,"Foundations, RF","ENG: Hareesh Kolluru
PM: Anandh Chellamuthu",XL,3,"Harsha Lokavarapu
Fakiha Baqai
Ahmad Ayub
Junaid Khokhar (new)",,GA,"Jun 30, 2026","Key Metrics: 
- Reduce latency and server-side services costs by 15-30% [Reliability]
- Reduce time to react and respond to incidents [Observability]
- Cost reduction (AT&T and BE)
Impact: 
- Improves scalability and handling future load spikes without adding new services. 
- Clear team boundaries reduce operational ambiguity, lower on-call burden, and create a single, measurable, E2E path for observability. 
- Meaningfully lower compute and storage costs by eliminating unnecessary message processing and deprecating legacy infrastructure.
- Meaningfully lower AT&T costs","AI Platform
Dhiraj Bathija Devin Smith",,New,No,,,,,,,,,,,,,,,,,,,,,,,
Deliver Enterprise- Grade Reliability Across Hardware and Software,AI Safety & Collisions,"Both(AIDC, AIDC+)",Scale Annotations,2,"Annotations Automation
Need more aggressive bypass to manage growing Annotation volumes in 2026 across events, segments, other criteria; needs to be resilient to confidence threshold changes
Confidence-based bypass: SSV + SBV + Distraction
AI Annotator: Build a generic framework for AI annotator starting with bypassing collisions and harsh brakes",Initiative,,"RF, DF","Overall STO: TBD

ENG: Fahad Javed Wajahat Kazmi
PM: Achin Gupta Arshdeep Kaur",L,3,Abdullah Hasan Aman Shekh Shelender Kumar,"Phase 2 (Q1): SSV, SBV and Distraction
GA

Phase 3 (Q2): All other applicable behaviors
GA",GA,"Phase 2
Mar 31, 2026
Phase 3
Jun 30, 2026",Key Metrics: Reduce annotated video volume by 16%.,"Events
Adil Khan/ Achin Gupta

ATech
Arshdeep Kaur",,Existing / Spillover,No,,,20,,40,,,,,,,,,,,,,,,,,,Shelender Kumar 
,,,,2,,Initiative,Annotations with VLMs – One Pager,AS,"PM: Avinash Devulapalli
ENG: Rakesh Prasanth
",L,2,"Muhammad Taha Suhail
Neeraj Dhandia",TBD,GA,TBD,,,,Existing / Spillover,,,,,,,,,,,,,,,,,,,,,,,,
Deliver Enterprise- Grade Reliability Across Hardware and Software,AI Safety & Collisions,,,2,"Safety score V5 - New Behaviour Integration
-  New behaviors distraction/cell phone/SBV volume changes, possibly HB LVE changes)",Epic,"Safety Scores: Integrating Positive Behaviors
Safety Scorecard Generation: A Technical Guide",AS,"PM: Hugh Watanabe
ENG: Rakesh Prasanth
",L,2,"Mohith Ashok
Shefali Singh",Beta (Customer Deployable),GA,"Beta
Mar 31, 2026
GA
June 30, 2026","Impact: Improves accuracy and reliability of Safety Score V5 by integrating high-value risk behaviours, reducing manual errors, and enabling scalable, future-ready behaviour updates.",,,,,,,,,,,,,,,,,,,,,,,,,,,
Deliver Enterprise- Grade Reliability Across Hardware and Software,AI Safety & Collisions,"Both(AIDC, AIDC+)",Mature AI Product,3,"AI Release Management Revamp
Standardize and streamline the rollout process for AI models and config changes. Introduce clearer stages, better forecasting, and unified auditing and monitoring so updates move consistently from validation to GA. Update process for making changes in production systems; estimates; auditing, monitoring and alerting.",Initiative,,"Foundations, RF, DF","ENG: Numan Sheikh
PM: Anandh Chellamuthu",L,3,TBD,Beta (Customer Deployable),GA,"Mar 30, 2026","Key Metrics: 
- Create and operationalize a build release scorecard and process (with event volume predictions and configuration change management)
- Ensure that impact assessment sampling covers our entire product fleets and stratification (e.g., geographic location, fleet size, industry sector etc)
Impact: Today, AI visibility is buried inside multiple  dashboards owned by many teams. We can’t quickly answer whether the AI is behaving correctly, drifting, or silently failing. We miss early signs like volume dips, video failures, customer-level anomalies, and rejection-rate swings. Most issues get caught only after someone else reports them. This initiative will create a clear, AI-focused E2E view so we can detect issues early and prevent SEVs.",NA,,New,,,,,,,,,,,,,,,,,,,,,,,,
Win in Enterprise,AI Safety & Collisions,AIDC+ (dc63/dc64) Only,AI Product Roadmap,4,"AIDC+ <> AIDC Feature Parity - 5 features 
Lane Swerving by Jan, Driver Fatigue Index, Vision-based Collision, Forward Parking by March, Speed sign detection by April; push at least one full URM and UDM update with a statistically significant sample of AIDC+ data.",Initiative,,Embedded,"ENG: Hareesh Kolluru
PM: Anandh Chellamuthu",XL,5,"Vikrant Sidagam
Pavan Kumar Kota
Mateusz Pedzik","Phase 1 (Q1): Lane Swerving, FCW v2, DFI, Vision-based Collision, Forward Parking
GA

Phase 2 (Q2): Speed-sign detection
Dev 50% Complete
",GA,"Lane Swerving
Jan 31, 2026
Driver Fatigue Index, Vision-based Collision
Mar 31, 2026
Speed Sign Detection
Apr 30, 2026
URM and UDM updates
Jun 22, 2026","Key Metrics: Deliver 20/20 parity by EOH1 (Same as AIDC precision in N.A)
Impact: Motive will be able to aggressively sell the AIDC+ in 2026 without customer reservation of available features and position the company to accelerate a reduction in hardware related COGs. ",,,New,,,,,,,,,,,,,,,,,,,,,,,,
,,,,4,,Epic,,AS,"ENG: Rakesh Prasanth
PM: Anandh Chellamuthu",M,2.5,"David Sanford
Syed Adnan
Abhishek Padghan",GA,N/A,"Forward Parking
Mar 31, 2026",,,,New,,,,,,,,,,,,,,,,,,,,,,,,
